time_s,cmd_v,cmd_w,target_vL,target_vR,left_ticks,right_ticks,meas_vL,meas_vR,duty_L,duty_R
0.216,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.00,0.00
0.266,0.2000,0.0000,0.2000,0.2000,0,0,0.0000,0.0000,65.20,65.20
0.317,0.2000,0.0000,0.2000,0.2000,1,0,0.0340,0.0000,59.96,63.40
0.366,0.2000,0.0000,0.2000,0.2000,1,1,0.0340,0.0340,59.47,59.16
0.416,0.1817,0.0003,0.1817,0.1817,5,4,0.1702,0.1361,45.00,47.01
0.466,0.1803,0.0030,0.1801,0.1805,7,6,0.2042,0.2042,45.00,45.00
0.516,0.1803,0.0030,0.1801,0.1805,10,10,0.3063,0.3063,45.00,45.00
0.567,0.1335,-0.0911,0.1403,0.1267,13,13,0.2723,0.3063,45.00,45.00
0.617,0.1335,-0.0911,0.1403,0.1267,17,17,0.3403,0.3744,45.00,45.00
0.671,0.0773,-0.0903,0.0841,0.0706,19,20,0.3063,0.3403,45.00,45.00
0.716,0.0773,-0.0903,0.0841,0.0706,23,24,0.3403,0.3744,45.00,45.00
0.771,0.0773,-0.0903,0.0841,0.0706,27,28,0.3403,0.3744,45.00,45.00
0.816,0.0211,-0.0905,0.0279,0.0143,27,32,0.2723,0.4084,45.00,45.00
0.866,-0.0139,-0.6567,0.0354,-0.0631,29,35,0.2042,0.3744,45.00,45.00
0.916,-0.0139,-0.6567,0.0354,-0.0631,33,39,0.2042,0.3744,45.00,45.00
0.977,-0.0678,-0.5679,-0.0252,-0.1104,35,41,0.2723,0.3063,45.00,45.00
1.016,-0.0678,-0.5679,-0.0252,-0.1104,39,42,0.3403,0.2382,45.00,45.00
1.066,-0.0494,-0.2942,-0.0273,-0.0714,39,43,0.2042,0.1361,45.00,45.00
1.116,-0.0494,-0.2942,-0.0273,-0.0714,39,44,0.1361,0.1021,45.00,45.00
1.166,-0.0115,-0.4890,0.0252,-0.0482,39,45,0.0000,0.1021,47.54,45.00
1.216,-0.0115,-0.4890,0.0252,-0.0482,39,47,0.0000,0.1361,47.31,45.00
1.266,-0.0221,-0.8727,0.0433,-0.0876,39,48,0.0000,0.1361,49.05,45.00
1.316,-0.0221,-0.8727,0.0433,-0.0876,39,50,0.0000,0.1702,48.85,45.00
1.366,-0.0331,-1.1672,0.0545,-0.1206,39,51,0.0000,0.1361,49.89,45.00
1.416,-0.0331,-1.1672,0.0545,-0.1206,39,53,0.0000,0.1702,49.78,45.00
1.466,-0.0346,-1.3720,0.0683,-0.1375,39,54,0.0000,0.1361,51.14,45.00
1.518,-0.0346,-1.3720,0.0683,-0.1375,39,54,0.0000,0.1021,51.02,47.66
1.566,-0.0498,-1.4977,0.0625,-0.1621,39,55,0.0000,0.0681,50.42,53.03
1.617,-0.0498,-1.4977,0.0625,-0.1621,40,56,0.0340,0.0681,47.06,52.25
1.666,-0.1042,-1.4995,0.0083,-0.2166,41,57,0.0681,0.1021,45.00,53.97
1.718,-0.1042,-1.4995,0.0083,-0.2166,41,59,0.0681,0.1361,45.00,50.22
1.766,-0.1538,-1.4995,-0.0413,-0.2662,42,60,0.0681,0.1361,45.00,55.44
1.817,-0.1538,-1.4995,-0.0413,-0.2662,43,62,0.0681,0.1702,45.00,51.70
1.866,-0.2167,-1.4996,-0.1042,-0.3292,45,63,0.1361,0.1361,45.00,61.72
1.925,-0.2167,-1.4996,-0.1042,-0.3292,47,66,0.1702,0.2042,45.00,54.13
1.966,-0.2738,-1.4997,-0.1613,-0.3863,49,67,0.2042,0.1702,45.00,63.69
2.016,-0.2738,-1.4997,-0.1613,-0.3863,53,71,0.2723,0.2723,45.00,52.79
2.066,-0.2953,-1.4989,-0.1829,-0.4077,55,73,0.2723,0.2382,45.00,59.13
2.118,-0.2953,-1.4989,-0.1829,-0.4077,60,77,0.3744,0.3403,45.00,48.75
2.166,-0.2953,-1.4989,-0.1829,-0.4077,63,80,0.3403,0.3063,45.00,53.15
2.216,-0.2998,-1.4982,-0.1874,-0.4121,67,84,0.4084,0.3744,45.00,46.93
2.266,-0.2999,-1.4995,-0.1874,-0.4124,69,87,0.3063,0.3403,45.00,51.12
2.317,-0.2999,-1.4995,-0.1874,-0.4124,74,92,0.3744,0.4084,45.00,45.00
2.366,-0.2999,-1.4994,-0.1875,-0.4124,77,95,0.3403,0.3744,45.00,48.45
2.416,-0.2999,-1.4994,-0.1875,-0.4124,81,99,0.4084,0.4084,45.00,45.05
2.466,-0.3000,-1.4922,-0.1880,-0.4119,84,102,0.3403,0.3403,45.00,52.21
2.516,-0.3000,-1.4922,-0.1880,-0.4119,89,106,0.4084,0.3744,45.00,48.34
2.571,-0.3000,-1.4725,-0.1895,-0.4104,91,110,0.3403,0.3744,45.00,48.32
2.616,-0.3000,-1.4725,-0.1895,-0.4104,96,115,0.4084,0.4424,45.00,45.00
2.666,-0.3000,-1.4808,-0.1889,-0.4110,99,118,0.3403,0.4084,45.00,45.72
2.716,-0.3000,-1.4808,-0.1889,-0.4110,103,122,0.4084,0.4084,45.00,45.73
2.766,-0.3000,-1.3979,-0.1951,-0.4048,106,125,0.3403,0.3403,45.00,51.98
2.816,-0.3000,-1.3979,-0.1951,-0.4048,111,130,0.4084,0.4084,45.00,45.00
2.867,-0.3000,-1.4623,-0.1903,-0.4097,113,135,0.3403,0.4424,45.00,45.00
2.916,-0.3000,-1.4623,-0.1903,-0.4097,117,139,0.3744,0.4765,45.00,45.00
2.969,-0.3000,-1.3947,-0.1954,-0.4046,121,142,0.3403,0.4084,45.00,45.86
3.016,-0.3000,-1.3947,-0.1954,-0.4046,125,149,0.4084,0.4765,45.00,45.00
3.066,-0.3000,-1.3947,-0.1954,-0.4046,127,152,0.3403,0.4424,45.00,45.00
3.116,-0.3000,-1.4953,-0.1878,-0.4121,131,155,0.3403,0.4424,45.00,45.00
3.166,-0.3000,-1.4953,-0.1878,-0.4121,135,158,0.3403,0.3063,45.00,56.76
3.217,-0.3000,-1.4351,-0.1924,-0.4076,139,162,0.4084,0.3403,45.00,51.55
3.266,-0.3000,-1.2771,-0.2042,-0.3958,141,165,0.3403,0.3403,45.00,50.10
3.317,-0.3000,-1.2771,-0.2042,-0.3958,145,169,0.3403,0.3744,45.00,46.67
3.366,-0.3000,-1.2283,-0.2079,-0.3921,148,171,0.3063,0.3063,45.00,53.51
3.418,-0.3000,-1.2283,-0.2079,-0.3921,152,175,0.3744,0.3403,45.00,49.68
3.466,-0.3000,-1.1666,-0.2125,-0.3875,155,178,0.3403,0.3063,45.00,52.80
3.516,-0.3000,-1.1666,-0.2125,-0.3875,158,182,0.3403,0.3744,45.00,45.76
3.566,-0.3000,-1.1523,-0.2136,-0.3864,161,184,0.3063,0.3063,45.00,53.10
3.616,-0.3000,-1.1523,-0.2136,-0.3864,165,187,0.3403,0.3063,45.00,52.79
3.666,-0.3000,-0.9861,-0.2260,-0.3739,167,188,0.3063,0.2042,45.00,61.72
3.716,-0.3000,-0.9861,-0.2260,-0.3739,171,190,0.3403,0.2042,45.00,60.90
3.767,-0.3000,-0.6263,-0.2530,-0.3470,173,192,0.2723,0.1702,45.00,61.28
3.816,-0.3000,-0.6263,-0.2530,-0.3470,177,194,0.3403,0.2042,45.00,57.71
3.866,-0.3000,-0.3749,-0.2719,-0.3281,179,196,0.2723,0.2042,45.00,56.12
3.916,-0.3000,-0.3749,-0.2719,-0.3281,182,198,0.3063,0.2042,45.00,56.53
3.973,-0.3000,-0.3749,-0.2719,-0.3281,184,200,0.2382,0.2042,45.00,56.79
4.016,-0.3000,-0.2379,-0.2822,-0.3178,187,204,0.2723,0.2723,45.00,49.07
4.066,-0.3000,-0.0315,-0.2976,-0.3024,189,206,0.2382,0.2723,45.13,48.37
4.116,-0.3000,-0.0315,-0.2976,-0.3024,192,209,0.2723,0.3063,45.00,45.53
4.166,-0.3000,-0.0057,-0.2996,-0.3004,195,211,0.2723,0.2382,45.00,52.83
4.216,-0.3000,-0.0057,-0.2996,-0.3004,197,216,0.2723,0.3403,45.00,45.00
4.266,-0.3000,-0.0916,-0.2931,-0.3069,200,218,0.2723,0.3063,45.00,47.12
4.317,-0.3000,-0.0916,-0.2931,-0.3069,203,220,0.2723,0.3063,45.00,47.14
4.366,-0.3000,0.0481,-0.3036,-0.2964,205,221,0.2723,0.1702,45.00,59.84
4.416,-0.3000,0.0481,-0.3036,-0.2964,208,223,0.2723,0.1702,45.00,58.71
4.466,-0.3000,0.5117,-0.3384,-0.2616,211,225,0.2723,0.1702,45.56,54.70
4.516,-0.3000,0.5117,-0.3384,-0.2616,214,227,0.3063,0.2042,45.00,51.39
4.566,-0.3000,0.7559,-0.3567,-0.2433,217,229,0.3063,0.2042,45.00,49.96
4.616,-0.3000,0.7559,-0.3567,-0.2433,220,231,0.3063,0.2042,45.00,50.36
4.667,-0.3000,1.0261,-0.3770,-0.2230,222,234,0.2723,0.2382,49.28,45.09
4.716,-0.3000,1.0261,-0.3770,-0.2230,225,237,0.2723,0.2723,48.82,45.00
4.766,-0.3000,1.2614,-0.3946,-0.2054,227,238,0.2382,0.2382,53.86,45.00
4.816,-0.3000,1.2614,-0.3946,-0.2054,231,241,0.3063,0.2382,46.48,45.00
4.868,-0.3000,1.2481,-0.3936,-0.2064,233,243,0.2723,0.2042,50.26,48.26
4.916,-0.3000,1.2481,-0.3936,-0.2064,236,246,0.3063,0.2723,46.78,45.00
4.966,-0.3000,1.4263,-0.4070,-0.1930,238,247,0.2382,0.2042,55.36,47.06
5.016,-0.3000,1.4263,-0.4070,-0.1930,241,253,0.2723,0.3403,51.41,45.00
5.066,-0.3000,1.2419,-0.3931,-0.2069,243,255,0.2382,0.3063,53.58,45.00
5.116,-0.3000,1.2419,-0.3931,-0.2069,247,258,0.3063,0.3744,46.66,45.00
5.168,-0.3000,1.3749,-0.4031,-0.1969,249,260,0.2723,0.2382,51.77,45.40
5.216,-0.3000,1.3749,-0.4031,-0.1969,253,262,0.3403,0.2382,45.00,45.00
5.267,-0.3000,1.4997,-0.4125,-0.1875,257,264,0.3403,0.2042,46.49,46.48
5.316,-0.3000,1.4997,-0.4125,-0.1875,260,267,0.3744,0.2382,45.00,45.00
5.366,-0.3000,1.4998,-0.4125,-0.1875,263,269,0.3403,0.2382,47.25,45.00
5.417,-0.3000,1.4998,-0.4125,-0.1875,265,271,0.2723,0.2382,54.08,45.00
5.466,-0.3000,1.4999,-0.4125,-0.1875,268,274,0.2723,0.2382,53.48,45.00
5.516,-0.3000,1.4999,-0.4125,-0.1875,271,277,0.2723,0.2723,53.25,45.00
5.566,-0.3000,1.4999,-0.4125,-0.1875,274,280,0.3063,0.3063,49.77,45.00
5.618,-0.3000,1.4999,-0.4125,-0.1875,277,285,0.3063,0.3744,50.13,45.00
5.666,-0.3000,1.4998,-0.4125,-0.1875,281,287,0.3403,0.3403,46.92,45.00
5.716,-0.3000,1.4998,-0.4125,-0.1875,285,292,0.3744,0.4084,45.00,45.00
5.766,-0.3000,1.4992,-0.4124,-0.1876,287,295,0.3403,0.3403,47.97,45.00
5.816,-0.3000,1.4992,-0.4124,-0.1876,291,299,0.3403,0.4084,47.97,45.00
5.866,-0.3000,1.2514,-0.3938,-0.2061,295,306,0.3403,0.4765,46.13,45.00
5.916,-0.3000,1.2514,-0.3938,-0.2061,299,310,0.4084,0.5105,45.00,45.00
5.970,-0.3000,1.1042,-0.3828,-0.2172,303,314,0.4084,0.5105,45.00,45.00
